Gap Pattern Id,"Measurement Gap Length(MGL, ms)","Measurement Gap Repetition Period(MGRP, ms)"
0,6,40
1,6,80
2,3,40
3,3,80
4,6,20
5,6,160
6,4,20
7,4,40
8,4,80
9,4,160
10,3,20
11,3,160
