Configuration,Measurement bandwidth (RB),Number of UL/DL sub-frames per half frame (5 ms),,DwPTS,,"TMeasure, E-UTRAN TDD (ms)"
,,DL,UL,Normal CP,Extended CP,
0,6,2,2,19760×Ts,20480×Ts,480 x CSSFinterRAT x Ceil(Kgap_EUTRA)
1 (Note 1),50,2,2,19760×Ts,20480×Ts,240 x CSSFinterRAT x Ceil(Kgap_EUTRA)
2,6,1,3,19760×Ts,20480×Ts,720 x CSSFinterRAT x Ceil(Kgap_EUTRA)
3 (Note 1),50,1,3,19760×Ts,20480×Ts,480 x CSSFinterRAT x Ceil(Kgap_EUTRA)
NOTE 1:This configuration is optional.NOTE 2:VoidNOTE 3:Kgap_EUTRA is only applicable for a UE supporting concurrent GAPs and/or MUSIM gaps. Otherwise Kgap_EUTRA =1,,,,,,
