Configuration,TL1-RSRP_Measurement_Period_SSB_intra (ms)
non-DRX,"max(TReport, ceil(M*P)*TSSB_NBC)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(K *M*P)*max(TDRX,TSSB_NBC))"
DRX cycle > 320 ms,ceil(M*P)*TDRX
NOTE 1:TSSB_NBC is the periodicity of the neighbor cell SSB-Index configured for intra-frequency L1-RSRP measurement. TDRX is the DRX cycle length. TReport is the configured periodicity for reporting.NOTE 2:K = 1.5.NOTE 3: The requirements apply when the max RTD between the serving cell and any candidate cell on which UE is required to perform L1-RSRP measurement on the same frequency layer is not larger than CP length of the cell on the frequency layer.,
