DRX cycle,TPSS/SSS_sync_intra
No DRX,Ceil(Mpss/sss_sync_w/o_gaps x Kp) x measCyclePSCell x CSSFintra
DRX cycle≤ 320 ms,"Ceil(Mpss/sss_sync_w/o_gaps x Kp) x max(measCyclePSCell, 1.5xDRX cycle) x CSSFintra"
DRX cycle> 320 ms,"Ceil(Mpss/sss_sync_w/o_gaps x Kp) x max(measCyclePSCell, DRX cycle) x CSSFintra"
