Configuration,[Effective measurement window periodicity] [ms],[Effective measurement window duration] [ms],Tinter1
0,40,5,[60]
1,80,5,[30]
2,40,2,[60]
3,80,2,[30]
4,40,5.5,[60]
5,80,5.5,[30]
