DRX cycle,TPSS/SSS_sync_inter
No DRX,"max( 600 ms, Mpss/sss_sync_inter x max(80 ms, SMTC period) )Note 1 x CSSFinter"
[DRX cycle≤ 320 ms],"max( 600 ms, ceil(M2 x Mpss/sss_sync_inter) x max(80 ms, SMTC period,DRX cycle)) x CSSFinter"
[DRX cycle>320 ms],Mpss/sss_sync_inter x DRX cycle x CSSFinter
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identifiedNOTE 2:VoidNOTE 3:When highSpeedMeasInterFreq-r17 is not configured, M2 = 1.5; When highSpeedMeasInterFreq-r17 is configured, M2 = 1.5 if SMTC periodicity > 40 ms; otherwise M2 = 1",
