"Condition NOTE1,2,3,4",TSSB_time_index_inter_cca
No DRX,"max(120 ms, (3+ Lind,gaps) x max(MGRP, SMTC period)) x CSSFinter"
DRX cycle ≤ 320 ms,"max(120 ms, ceil((3+ Lind,gaps) x 1.5) x max(MGRP, SMTC period, DRX cycle)) x CSSFinter"
DRX cycle > 320 ms,"(3 + Lind,gaps) x DRX cycle x CSSFinter"
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:In EN-DC operation, the parameters, timers and scheduling requests referred to in clause 3.6.1 are for the secondary cell group. The DRX cycle is the DRX cycle of the secondary cell group.NOTE 3:When DRX is not configured, Lind,gaps is the number of SMTC occasions not available at the UE during TSSB_time_index_inter_cca for time index identification, where Lind,gaps ≤ Lind,gaps,max. When DRX is configured, Lind,gaps is the number of DRX cycles in which at least one SMTC occasion is not available at the UE during TSSB_time_index_inter_cca for time index identification, where Lind,gaps ≤ Lind,gaps,max. When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. When configured with measurement gaps, the UE is not required to determine the availability of SMTC occasions more frequent than once during MGRP. FFS: The UE is not required to determine the availability of SMTC occasions more frequent than what is required by CSSFinter.NOTE 4:Lind,gaps,max = 5 for max(DRX cycle, SMTC period, MGRP) ≤ 40 ms, Lind,gaps,max = 3 for 40 ms < max(DRX cycle, SMTC period, MGRP) ≤ 320 ms, and Lind,gaps,max = 2 for DRX cycle > 320 ms.",
