DRX cycle,T SSB_measurement_period_intra
No DRX,"max(200 ms, ceil(5 x Kgap )x max(MGRP, SMTC period)) x CSSFintra"
DRX cycle≤ 320 ms,"max(200 ms, ceil(1.5x 5 x Kgap) x max(MGRP, SMTC period,DRX cycle)) x CSSFintra"
DRX cycle>320 ms,"Ceil(5 x Kgap ) x max(MGRP, DRX cycle) x CSSFintra"
"NOTE 1:For a UE supporting concurrent GAPs, if multiple concurrent GAPs are configured, the MGRP is the periodicity of the activated Pre-MG or the MG pattern associated to the intra-frequency layer.",
