MUSIM gap pattern configuration,Serving cell,Gap Purpose,Applicable MUSIM Gap Pattern Id
Per-UE,"FR1, FR2, or",MUSIM Note1,"0-13, 14-26, 27, 28"
MUSIM gap,FR1 + FR2,,
,,,
"NOTE 1: Inclusion of MUSIM procedures for per-UE MUSIM gaps only in NR single carrier, NR CA mode: MUSIM purpose which includes cell identification and measurement, paging monitoring, SIB acquisition, and/or on-demand SI request of the target cell in the target network.",,,
