DRX cycle,TSSB_time_index_intra
No DRX,"max(120ms, ceil(7 x Kp x Klayer1_measurement) x Kmulti_SMTC x SMTC period)Note 1 x CSSFintra"
DRX cycle≤ 320ms,"max(120ms, ceil (1.5 x 7 x Kp x Klayer1_measurement) x Kmulti_SMTC x max(SMTC period,DRX cycle)) x CSSFintra"
DRX cycle>320ms,Ceil (7 x Kp x Klayer1_measurement) x Kmulti_SMTC x DRX cycle x CSSFintra
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identified",
