DRX cycle,TSSB_time_index_inter_less_than_5 MHz
No DRX,"max(120 ms, ceil( 6 x Kp ) x SMTC period)Note 1 x CSSFinter"
DRX cycle≤ 320 ms,"max(120 ms, ceil (6 x Kp) x max(SMTC period,DRX cycle)) x CSSFinter"
DRX cycle>320 ms,Ceil( 6 x Kp) x DRX cycle x CSSFinter
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identifiedNOTE 2:When highSpeedMeasInterFreq-r17 is not configured, M2 = 1.5; When highSpeedMeasInterFreq-r17 is configured, M2 = 1.5 if SMTC periodicity > 40 ms; otherwise M2 = 1.NOTE 3:The requirements in this table apply provided that the Ês/Iot on the target cell SSB is -4 dB.",
