DRX cycle,T SSB_measurement_period_intra_RedCap
No DRX,"max(200 ms, ceil( 5 x Kp) x SMTC period)Note 1 x CSSFintra_RedCap"
DRX cycle≤ 320 ms,"max(200 ms, ceil(1.5x 5 x Kp) x max(SMTC period,DRX cycle)) x CSSFintra_RedCap"
DRX cycle>320 ms,ceil( 5 x Kp ) x DRX cycle x CSSFintra_RedCap
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identified",
