Condition NOTE1,TSSB_time_index_inter_less_than_5Mhz
No DRX,"Max(120 ms, Ceil(6 * Kgap) Max(MGRP , SMTC period))  CSSFinter"
DRX cycle ≤ 320 ms,"Max(120ms, Ceil(6   M2 *  Kgap)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter"
DRX cycle > 320 ms,Ceil(6* Kgap) DRX cycle  CSSFinter
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:When highSpeedMeasInterFreq-r17 is not configured, M2 = 1.5; When highSpeedMeasInterFreq-r17 is configured, M2 = 1.5 if SMTC periodicity > 40 ms; otherwise M2 = 1.NOTE 3:The requirements in this table apply provided that the Ês/Iot on the target cell SSB is -4 dB.",
