DRX cycle,TSSB_measurement_period_intra_CCA
No DRX,"Ceil((Mmeas_period_w/o_gaps_CCA + N x Lmeas,deact) x Kp) x measCycleSCell x CSSFintra"
DRX cycle≤ 320 ms,"Ceil((Mmeas_period_w/o_gaps_CCA + N x Lmeas,deact) x Kp) x max(measCycleSCell, 1.5xDRX cycle) x CSSFintra"
DRX cycle> 320 ms,"Ceil((Mmeas_period_w/o_gaps_CCA + N x Lmeas,deact) x Kp) x max(measCycleSCell, DRX cycle) x CSSFintra"
"NOTE 1:When DRX is not configured, Lmeas,deact is the number of SMTC occasion groups not available at the UE during TSSB_measurement_period_intra_CCA for measurement, where Lmeas,deact <Lmeas, ,deact ,max. A SMTC occasion group consists of N consecutive SMTC occasions. An SMTC occasion group is not available, when at least one SMTC occasion in the group is not transmitted by the gNB. When DRX is configured, Lmeas,deact is the number of [DRX cycle groups] in which at least one SMTC occasion is not available at the UE during TSSB_measurement_period_intra_CCA for measurement, where Lmeas,deact <Lmeas, ,deact ,max. [A DRX occasion group consists of N consecutive DRX cycles. A DRX occasion group occasion group is not available, when at least one SMTC occasion in the group is not transmitted by the gNB.] When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. When configured with measurement cycles, the UE is not required to determine the availability of SMTC occasions more frequent than once per measurement cycle. FFS: The UE is not required to determine the availability of SMTC occasions more frequent than what is required by CSSFintra.NOTE 2:Lmeas, ,deact ,max, = [7] for Max(DRX cycle, measCycleSCell)≤40ms where DRX cycle is 0 for non-DRX, Lmeas, ,deact ,max = [5] for 40ms<Max(DRX cycle, measCycleSCell)≤320ms, Lmeas, ,deact ,max = [3] for DRX cycle>320ms.NOTE 3:Upon exceeding Lmeas,deact,max over the period of time TSSB_measurement_period_intra_CCA, the UE has to restart the measurement procedure.",
