Condition NOTE1,TSSB_time_index_inter_RedCap
No DRX,"Max(160 ms, 6  Max(MGRP, SMTC period))  CSSFinter_RedCap"
DRX cycle ≤ 320 ms,"Max(160 ms, Ceil(6  1.5)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter_RedCap"
DRX cycle > 320 ms,6  DRX cycle  CSSFinter_RedCap
NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1,
