Condition,TL1-RSRP_Measurement_Period_SSB_Inter
No DRX,"Max(Treport, Ceil(Kgap  M*N)  Max(MGRP, TSSB_NBC)  CSSFinter)"
DRX cycle ≤ 320 ms,"Max(Treport, Ceil(1.5 * Kgap  M*N)  Max(MGRP, TSSB_NBC, TDRX) CSSFinter)"
DRX cycle > 320 ms,Ceil(Kgap  M*N)  TDRX  CSSFinter
"NOTE 1:The definition of Kgap is the same as L3 measurement which is a scaling factor for a SSB frequency layer to be measured within an associated measurement gap pattern.NOTE 2: If the UE is incapable of multiCellL1-measRTD-greaterThan-CP-r18, the requirements apply for the the cells configured by LTM-CSI-ResourceConfig-r18 on which UE is required to perform L1 measurements, when the max RTD among the cells on the same inter-frequency layer is not larger than CP length.NOTE 3: TSSB_NBC is the periodicity of the neighbor cell SSB-Index configured for inter-frequency L1-RSRP measurement. TDRX is the DRX cycle length. TReport is the configured periodicity for reporting.",
