"Positioning subframe configuration period, TPRS","Number of PRS positioning occasions, M",
,f2 Note1,f1 and f2 Note2
160 ms,16 × CSSFinterRAT,32 × CSSFinterRAT
>160 ms,8 × CSSFinterRAT,16 × CSSFinterRAT
"NOTE 1:When inter-RAT E-UTRAN FDD RSTD measurements are performed over the reference cell and neighbour cells, which belong to the E-UTRAN FDD carrier frequency f2.NOTE 2:When inter-RAT E-UTRAN FDD RSTD measurements are performed over the reference cell and the neighbour cells, which belong to the E-UTRAN FDD carrier frequency f1 and the E-UTRAN FDD carrier frequency f2 respectively.",,
