Condition NOTE1,TPSS/SSS_sync_inter
No DRX,"Max(600 ms, Ceil(8 x Kgap)  Max(MGRP, SMTC period NOTE2))  CSSFinter"
DRX cycle ≤ 320 ms,"Max(600 ms, Ceil(8*1.5 x Kgap)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter"
DRX cycle > 320 ms,Ceil(8 x Kgap)  DRX cycle  CSSFinter
NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:SMTC period is the SMTC period in SMTC configuration which is associated with the target cell to be measured configured in SSB-MTC4List-r17.,
