DRX cycle,TSSB_measurement_period_inter
No DRX,"max(400 ms, ceil(Mmeas_period_inter x Klayer1_measurement) x max(80 ms, SMTC period))Note 1 x CSSFinter"
DRX cycle≤ 320 ms,"max(400 ms, ceil(1.5x Mmeas_period_inter x Klayer1_measurement) x max(80 ms, SMTC period, DRX cycle)) x CSSFinter"
DRX cycle>320 ms,ceil(Mmeas_period_inter x Klayer1_measurement) x DRX cycle x CSSFinter
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identified",
