DRX cycle,TPSS/SSS_sync_intra
No DRX,5 x Kgap x measCycleSCell x CSSFintra
DRX cycle≤ 320ms,"Ceil(5 x Kgap) x max(measCycleSCell, M2 Note 1 x DRX cycle) x CSSFintra"
DRX cycle>320ms,"Ceil( 5 x Kgap ) x max(measCycleSCell, DRX cycle) x CSSFintra"
NOTE 1:M2 = 1.5 if SMTC periodicity > 40 ms; otherwise M2=1,
