DRX cycle,TPSS/SSS_sync_intra
No DRX,"max(600ms, Mpss/sss_sync_with_ncsg x KNCSG x max(VIRP, SMTC period)) x CSSFintra"
DRX cycle≤ 320 ms,"max(600ms, ceil(1.5x Mpss/sss_sync_with_ncsg x KNCSG) x max(VIRP, SMTC period, DRX cycle)) x CSSFintra"
DRX cycle>320 ms,"Mpss/sss_sync_with_ncsg x KNCSG x max(VIRP, DRX cycle) x CSSFintra"
