"Condition NOTE1,2",TSSB_time_index_inter
No DRX,"Max(200 ms, MSSB_index_inter  KNCSG  Max(VIRP, SMTC period))  CSSFinter"
DRX cycle ≤ 320 ms,"Max(200 ms, (1.5  MSSB_index_inter  KNCSG)  Max(VIRP, SMTC period, DRX cycle))  CSSFinter"
DRX cycle > 320 ms,MSSB_index_inter  KNCSG  DRX cycle  CSSFinter
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:In EN-DC operation, the parameters, timers and scheduling requests referred to in clause 3.6.1 are for the secondary cell group. The DRX cycle is the DRX cycle of the secondary cell group.",
