DRX cycle,TPSS/SSS_sync_intra_ODSSB
No DRX,"max(600 ms, ceil(Mpss/sss_sync_w/o_gaps x Kp x Klayer1_measurement)  x SMTC period)Note 1 x CSSFintra"
DRX cycle≤ 320 ms,"max(600 ms, ceil(1.5 x Mpss/sss_sync_w/o_gaps x Kp x Klayer1_measurement) x max(SMTC period, DRX cycle)) x CSSFintra"
DRX cycle>320 ms,ceil(Mpss/sss_sync_w/o_gaps x Kp x Klayer1_measurement)  x DRX cycle x CSSFintra
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identified",
