Configuration,"Physical Layer Measurement period: TMeasure, E-UTRAN FDD [ms]",Measurement bandwidth [RB]
0,480 x CSSFinterRAT x Ceil(Kgap_EUTRA) + 480 x ceil(T1/480) x CSSFinterRAT,6
1 (Note 1),240  x CSSFinterRAT x Ceil(Kgap_EUTRA) + 480 x ceil(T1/480) x CSSFinterRAT,50
"NOTE 1:This configuration is optional.NOTE 2:Kgap_EUTRA is only applicable for a UE supporting concurrent measurement gaps. Otherwise Kgap_EUTRA =1.NOTE 3:  T1 = ceil( Lcancel×KgapEUTRA)×MGRP, where Lcancel is the number of gap occasions cancelled during measurement period during TIdentify,E-UTRAN FDD for PSS/SSS detection.",,
