DRX cycle,TSSB_time_index_intra
No DRX,"max(120 ms, 3 x max (80 ms, SMTC period ))Note 1 x CSSFintra"
[DRX cycle≤ 320 ms],"max(120 ms, ceil (M2 Note 2 x 3) x [max(80 ms, SMTC period,DRX cycle)]) x CSSFintra"
[DRX cycle>320 ms],3 x DRX cycle x CSSFintra
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identifiedNOTE 2:When highSpeedMeasFlag-r16 is not configured, M2 = 1.5; When highSpeedMeasFlag-r16 is configured, M2 = 1.5 if SMTC periodicity > 40 ms;,otherwise M2=1NOTE 3:When highSpeedMeasFlag-r16 is configured, the requirements apply only to UE supporting either measurementEnhancement-r16 or intraNR-MeasurementEnhancement-r16 on measurements of the primary component carrier and do not apply to measurements of a secondary component carrier with active SCell.NOTE 4: When highSpeedMeasCA-Scell-r17 is configured and UE supports measurementEnhancementCA-r17, M2 = 1.5 if SMTC periodicity > 40 ms; otherwise M2=1NOTE 5:Requirements only apply when measurement gap is not configured, or measurement gap is fully non-overlapped with SMTC on any carrier on which UE indicates no-gap-with-interruption.",
