DRX cycle,TSSB_measurement_period_intra
No DRX,"max(200 ms, ceil( 5 x Kp x Klayer1_measurement) x Kmulti_SMTC x SMTC period)Note 1 x CSSFintra"
DRX cycle≤ 320 ms,"max(200 ms, ceil(1.5x 5 x Kp x Klayer1_measurement) x Kmulti_SMTC x max(SMTC period,DRX cycle)) x CSSFintra"
DRX cycle>320 ms,ceil( 5 x Kp x Klayer1_measurement) x Kmulti_SMTC x DRX cycle x CSSFintra
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identified",
