DRX cycle,TPSS/SSS_sync_inter_RedCap
No DRX,"max( 600 ms, ceil( 7 x Kp) x SMTC period )Note 1 x CSSFinter_RedCap"
DRX cycle≤ 320 ms,"max( 600 ms, ceil(1.5x 7 x Kp) x max(SMTC period,DRX cycle)) x CSSFinter_RedCap"
DRX cycle>320 ms,ceil(7 x Kp) x DRX cycle x CSSFinter_RedCap
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identified",
