Measurement category,Ecat,Note
"Intra-frequency Note 1,2,3,4,5",9,"Events for any one or a combination of intra-frequency SS-RSRP, SS-RSRQ, SS-SINR,  CSI-RSRP, CSI-RSRQ, and CSI-SINR for NG-RAN intra-frequency cells"
"Inter-frequency Note 2,3,4,5",10,"Events for any one or a combination of inter-frequency SS-RSRP, SS-RSRQ, SS-SINR, CSI-RSRP, CSI-RSRQ, and CSI-SINR for NG-RAN inter-frequency cells"
"Inter-RAT (E-UTRA FDD, E-UTRA TDD) Note 2,4,5",10,Only applicable for UE with this (inter-RAT) capability. These reporting criteria apply for any E-UTRA carrier frequencies other than the carrier frequency of the E-UTRA PSCell or E-UTRA SCell.
"Inter-RAT (E-UTRA FDD, E-UTRA TDD) RSTD Note 2,4,5",1,Inter-RAT RSTD measurement reporting for UE supporting OTDOA; 1 report capable of minimum 16 inter-RAT cell measurements.Only applicable for UE with this (inter-RAT RSTD via LPP [22]) capability. These reporting criteria apply for any E-UTRA carrier frequencies other than the carrier frequency of the E-UTRA PSCell or E-UTRA SCell.
"Inter-RAT (E-UTRA FDD, E-UTRA TDD) RSRP and RSRQ measurements for E-CID Note 2,4,5",1,Inter-RAT RSRP and RSRQ measurements for E-CID reported to E-SMLC via LPP [22]. One report capable of at least in total 10 inter-RAT RSRP and RSRQ measurements. Applicable to UE capable of reporting inter-RAT RSRP and RSRQ to E-SMLC via LPP. These reporting criteria apply for any E-UTRA carrier frequencies other than the carrier frequency of the E-UTRA PSCell or E-UTRA SCell.
"Intra-frequency RSSI and channel occupancy measurements with CCA Note 1,2,3",1,One report capable of one RSSI and one channel occupancy measurements over a channel [TS 37.213] with CCA. Applicable for UE capable of performing and reporting RSSI and channel occupancy on carrier frequencies under CCA.
"Inter-frequency RSSI and channel occupancy measurements with CCA Note 2,3",1,One report capable of one RSSI and one channel occupancy measurements over a channel [TS 37.213] with CCA. Applicable for UE capable of performing and reporting RSSI and channel occupancy on carrier frequencies under CCA.
"Intra-frequency SSB-based measurements for NR E-CID Note 1,2,3,4,5",1,Intra-frequency SS-RSRP and SS-RSRQ measurements for NR E-CID reported to LMF via LPP [34]. One report capable of at least in total 9 intra-frequency SS-RSRP and SS-RSRQ measurements. Applicable to UE capable of reporting at least one of SS-RSRP and SS-RSRQ to LMF via LPP.
"Intra-frequency CSI-RS based measurements for NR E-CID Note 1,2,3,4,5",1,"Intra-frequency CSI-RSRP and CSI-RSRQ measurements for NR E-CID reported to LMF via LPP [22]. One report capable of at least in total 9 intra-frequency CSI-RSRP and/or CSI-RSRQ measurements. Applicable to UE capable of reporting any of CSI-RSRP and CSI-RSRQ to LMF via LPP, as indicated in nr-ECID-MeasSupported-r16."
"Inter-frequency SSB-based measurements for NR E-CID Note 2,3,4,5",1,Inter-frequency SS-RSRP and SS-RSRQ measurements for NR E-CID reported to LMF via LPP [34]. One report capable of at least in total 10 inter-frequency SS-RSRP and SS-RSRQ measurements. Applicable to UE capable of reporting at least one of SS-RSRP and SS-RSRQ to LMF via LPP.
"Inter-frequency CSI-RS based measurements for NR E-CID Note 2,3,4,5",1,"Inter-frequency CSI-RSRP and CSI-RSRQ measurements for NR E-CID reported to LMF via LPP [22]. One report capable of at least in total 10 inter-frequency CSI-RSRP and CSI-RSRQ measurements. Applicable to UE capable of reporting any of CSI-RSRP and CSI-RSRQ to LMF via LPP, as indicated in nr-ECID-MeasSupported-r16."
"DL RSTD Note 2,4,5",1,"DL RSTD measurement reporting; 1 report capable of multiple (within the UE PRS measurement capability, nr-DL-TDOA-MeasCapability, indicated via LPP [34]) DL RSTD measurements and if supported also multiple corresponding DL PRS-RSRP measurements configured for DL-TDOA. Only applicable for UE capable of reporting measurements for DL-TDOA to LMF via LPP [34]."
"UE Rx-Tx time difference Note 2,4,5",1,"UE Rx-Tx time difference measurement reporting; 1 report capable of multiple (within the UE PRS measurement capability, nr-DL-PRS-MeasCapability, indicated via LPP [34] for multi-RTT) UE Rx-Tx time difference measurements and if supported also multiple corresponding DL PRS-RSRP measurements configured for multi-RTT. Only applicable for UE capable of reporting measurements for multi-RTT to LMF via LPP [34]."
"DL PRS-RSRP Note 2,4,5",1,"DL PRS-RSRP measurement reporting; 1 report capable of multiple (within the UE PRS measurement capability, nr-DL-PRS-MeasCapability, indicated via LPP [34] for AoD) DL PRS-RSRP measurements configured for DL-AoD. Only applicable for UE capable of reporting measurements for DL-AoD to LMF via LPP [34]."
"DL PRS-RSRPP Note 2,4,5",1,"DL PRS-RSRPP measurement reporting; 1 report capable of multiple (within the UE PRS measurement capability, nr-DL-PRS-MeasCapability, indicated via LPP [34] for AoD) DL PRS-RSRPP measurements configured for DL-AoD. Only applicable for UE capable of reporting measurements for DL-AoD to LMF via LPP [34]."
"SRS-RSRP Note 2,3,4,5",1,SRS-RSRP measurement reporting for CLI; 1 report capable of up to 32 SRS resources measurements. Only applicable for UE supporting cli-SRS-RSRP-Meas-r16.
"CLI-RSSI Note 2,3,4,5",1,CLI-RSSI measurement reporting for CLI; 1 report capable of up to 64 CLi-RSSI resources measurements. Only applicable for UE supporting cli-RSSI-Meas-r16.
"NOTE 1:When the UE is configured with PSCell and SCell carrier frequencies, Ecat for Intra-frequency is applied per corresponding NR serving frequency.NOTE 2: Applicable for UE configured with SA NR operation mode.NOTE 3: Applicable for UE configured with EN-DC operation mode.NOTE 4: Applicable for UE configured with NE-DC operation mode.NOTE 5: Applicable for UE configured with NR-DC operation mode.",,
