Configuration,TL1-RSRP_Measurement_Period_SSB_intra (ms)
non-DRX,"max(TReport, ceil(M*P)*TSSB_NBC*NLayer)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(K *M*P)*max(TDRX,TSSB_NBC) *NLayer)"
DRX cycle > 320 ms,ceil(M*P)*TDRX*NLayer
NOTE 1:TSSB_NBC is the periodicity of the neighbor cell SSB-Index configured for intra-frequency L1-RSRP measurement. TDRX is the DRX cycle length. TReport is the configured periodicity for reporting.  NLayer = the number of intra-frequency layers configured for L1-RSRP measurement with LTM-CSI-ResourceConfig-r18 + the number of inter-frequency layers without measurement gaps which are configured for L1-RSRP measurement with LTM-CSI-ResourceConfig-r18.NOTE 2:K = 1.5.NOTE 3:UE shall at least measure neighbour cells which have at least one TCI state on the LTM candidate cell active TCI state list within UE capability and additional cells to measure is up to UE implementation.,
