DRX cycle,TCSI-RS_SFN_intra
No DRX,"max(200 ms, ceil(5 x Kp_CSI-RS ) x SMTC period)Note 1 x CSSFintra"
DRX cycle≤ 320 ms,"max(2000 ms, ceil (1.5 x 5 x Kp_CSI-RS) x max(SMTC period,DRX cycle)) x CSSFintra"
DRX cycle>320 ms,Ceil(5 x Kp_CSI-RS) x DRX cycle x CSSFintra
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identifiedNOTE 2:Kp_CSI-RS is applicable for a UE supporting concurrent gaps and/or MUSIM gaps.",
