Configuration,TL1-RSRP_Measurement_Period_SSB_CCA (ms)
non-DRX,"max(TReport, ceil((M+L1)*P*N)*TSSB)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(1.5*(M+L1)*P*N)*max(TDRX,TSSB))"
DRX cycle > 320 ms,ceil(1.5*(M+L1)*P*N)*TDRX
"Note 1:TSSB = ssb-periodicityServingCell is the periodicity of the SSB-Index configured for L1-RSRP measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting.Note 2:L1=0 if higher layer parameter timeRestrictionForChannelMeasurement is configured. Otherwise, when DRX is not configured L1 is the number of SSB occasion groups not available at the UE during TL1-RSRP_Measurement_Period_SSB_CCA, where L1 ≤ L1max. An SSB occasions group consists of N consecutive SSB occasions, and the SSB occasions group is not available at the UE when at least one SSB occasion in the group is not transmitted by the gNB. When DRX is configured, L1 is the number of DRX cycle groups in which at least one SSB occasion is not available at the UE during TL1-RSRP_Measurement_Period_SSB_CCA, where L1 ≤ L1max. A DRX group consists of N DRX cycles, and the DRX cycle group is not available when there is at least one DRX in which at least one SSB occasion is not available. The UE is not required to determine the availability of SSB occasions more frequent than once per DRX cycle length, when configured with DRX.Note 3:L1max =7 for Max(TDRX,TSSB) ≤ 40ms assuming TDRX=0 for non-DRX,L1max =5 for 40ms < Max(TDRX, TSSB) ≤ 320ms, L1max =3 for TDRX > 320ms.",
