"Condition NOTE1,2",T CSI-RS_SFN_inter
No DRX,"Max(200 ms, ceil(5  Kp_CSI-RS ) Max(MGRP, SMTC period))  CSSFinter"
DRX cycle ≤ 320 ms,"Max(200 ms, Ceil(5  1.5  Kp_CSI-RS)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter"
DRX cycle > 320 ms,Ceil(5  Kp_CSI-RS ) DRX cycle  CSSFinter
"NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:In EN-DC operation, the parameters, timers and scheduling requests referred to in clause 3.6.1 are for the secondary cell group. The DRX cycle is the DRX cycle of the secondary cell group.NOTE 3:If UE support concurrent gaps and multiple concurrent gaps are configured, the MGRP is the periodicity of the MG pattern associated to associatedSSB.NOTE 4:Kp_CSI-RS is applicable for a UE supporting concurrent gaps and/or MUSIM gaps.",
