"Condition NOTE1,2",TSSB_time_index_inter
No DRX,"Max(120 ms, 3  Max(MGRP, SMTC period))  CSSFinter"
DRX cycle ≤ 320 ms,"Max(120 ms, Ceil(3  M2 NOTE3)  Max(MGRP, SMTC period, DRX cycle))  CSSFinter"
DRX cycle > 320 ms,3  DRX cycle  CSSFinter
"NOTE 1: DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2: In EN-DC operation, the parameters, timers and scheduling requests referred to in clause 3.6.1 are for the secondary cell group. The DRX cycle is the DRX cycle of the secondary cell group.NOTE 3: M2 = 1.5 if SMTC periodicity > 40 ms, otherwise M2=1.",
