Measurement gap pattern configuration,Serving cell,Measurement Purpose,Applicable Gap Pattern Id
,FR1,non-NR RAT NOTE2,"0,1,2,3"
,,FR1 and/or FR2,"0-11, 24, 25"
,,non-NR RAT and FR1 and/or FR2 NOTE2,"0, 1, 2, 3, 4, 6, 7, 8,10, 24"
Per-UE measurement,FR2,non-NR RAT only NOTE2,"0,1,2,3"
gap,,FR1 only,"0-11, 24, 25"
,,FR1 and FR2,"0-11, 24, 25"
,,non-NR RAT and FR1 and/or FR2 NOTE2,"0, 1, 2, 3, 4, 6, 7, 8, 10, 24"
,,FR2 only,12-25
,FR1 if configured,non-NR RAT only,"0,1,2,3"
,FR2 if configured,NOTE2,No gap
,FR1 if configured,FR1 only,"0-11, 24, 25"
,FR2 if configured,,No gap
,FR1 if configured,FR2 only,No gap
Per-FR,FR2 if configured,,12-25
measurement,FR1 if configured,non-NR RAT and,"0, 1, 2, 3, 4, 6, 7, 8, 10, 24"
gap,FR2 if configured,FR1 NOTE2,No gap
,FR1 if configured,FR1 and FR2,"0-11, 24, 25"
,FR2 if configured,,12-25
,FR1 if configured,non-NR RAT and,"0, 1, 2, 3, 4, 6, 7, 8, 10, 24"
,FR2 if configured,FR2 NOTE2,12-25
,FR1 if configured,non-NR RAT and FR1 and FR2 NOTE2,"0, 1, 2, 3, 4, 6, 7, 8, 10, 24"
,FR2 if configured,,12-25
"NOTE1:If per-UE measurement gap is configured with MG timing advance of TMG ms, the measurement gap starts at time TMG ms advanced to the end of the latest subframe occurring immediately before the configured measurement gap among all serving cells subframes.If per-FR measurement gap for FR1 is configured with MG timing advance of TMG ms, the measurement gap for FR1 starts at time TMG ms advanced to the end of the latest subframe occurring immediately before the configured measurement gap among serving cells subframes in FR1.If per-FR measurement gap for FR2 is configured with MG timing advance of TMG ms, the measurement gap for FR2 starts at time TMG ms advanced to the end of the latest subframe occurring immediately before the configured measurement gap among serving cells subframes in FR2.TMG is the MG timing advance value provided in mgta according to [2].In determining the measurement gap starting point, UE shall use the DL timing of the latest subframe occurring immediately before the configured measurement gap among serving cells.NOTE 2:In RedCap, non-NR RAT means E-UTRA only.NOTE 3:For UE only supporting supportedGapPattern-NRonly for any gap patterns among GP2-11, the corresponding gap patterns are not applicable to measurement of non-NR RAT as defined in NOTE 2.NOTE 4:Measurement gap patterns #24 and #25 can be requested when the UE is configured at least with any of RSTD, UE Rx-Tx time difference, PRS-RSRP or PRS-RSRPP measurements requiring such gaps and can be used during the corresponding positioning measurement period.",,,
