DRX cycle,TSSB_measurement_period_intra
No DRX,"max(400 ms, ceil(Mmeas_period_w/o_gaps x Klayer1_measurement) x max(80 ms, SMTC period ))Note 1 x CSSFintra"
DRX cycle≤ 320 ms,"max(400 ms, ceil(1.5x Mmeas_period_w/o_gaps x Klayer1_measurement) x [max(80, SMTC period,DRX cycle)]) x CSSFintra"
DRX cycle>320 ms,ceil(Mmeas_period_w/o_gaps x Klayer1_measurement ) x DRX cycle x CSSFintra
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identifiedNOTE 2:Requirements only apply when measurement gap is not configured, or measurement gap is fully non-overlapped with SMTC on any carrier on which UE indicates no-gap-with-interruption via NeedForInterruptionInfoNR-r18.",
