DRX cycle,TPSS/SSS_sync_intra
No DRX,5 x Kgap x measCycleSCell x CSSFintra
DRX cycle≤ 320ms,"Ceil(5 x Kgap) x max(measCycleSCell, 1.5 x DRX cycle) x CSSFintra"
DRX cycle>320ms,"Ceil( 5 x Kgap ) x max(measCycleSCell, DRX cycle) x CSSFintra"
NOTE 1:The requirements also apply to CC with deactivated SCell in SCG.,
