Configuration,"Physical Layer Measurement period: Tmeasure, E-UTRAN FDD [ms]",Measurement bandwidth [RB]
0,480 x CSSFinterRAT x Kp,6
1 (Note 1),240 x CSSFinterRAT x Kp,50
NOTE 1:This configuration is optional.,,
