Configuration,"Physical Layer Measurement period: TMeasure_RedCap, E-UTRAN FDD [ms]",Measurement bandwidth [RB]
0,960 x CSSFinterRAT_RedCap,6
1 (Note 1),480 x CSSFinterRAT_RedCap,50
NOTE 1:This configuration is optional.,,
