DRX cycle,TSSB_time_index_intra_RedCap
No DRX,"max(160 ms, 6 x max(MGRP, SMTC period)) x CSSFintra_RedCap"
DRX cycle≤ 320 ms,"max(160 ms, ceil(1.5 x 6) x max(MGRP, SMTC period,DRX cycle) x CSSFintra_RedCap)"
DRX cycle>320 ms,"[6] x max(MGRP, DRX cycle) x CSSFintra_RedCap"
