DRX cycle,TPSS/SSS_sync_intra_RedCap
No DRX,"max(600 ms, Mpss/sss_sync_with_gaps_RedCap x max(MGRP, SMTC period)) x CSSFintra_RedCap"
DRX cycle≤ 320 ms,"max(600 ms, ceil(1.5x Mpss/sss_sync_with_gaps_RedCap) x max(MGRP, SMTC period, DRX cycle)) x CSSFintra_RedCap_RedCap"
DRX cycle>320 ms,"Mpss/sss_sync_with_gaps_RedCap x max(MGRP, DRX cycle) x CSSFintra_RedCap"
