Configuration,TCJTC_Measurement_Period_CSI-RS (ms)
non-DRX,ceil(M*P)*TCSI-RS
DRX cycle ≤ 320 ms,"ceil(M*P)*max(TDRX,TCSI-RS)"
DRX cycle > 320 ms,ceil(M*P)*TDRX
NOTE 1:TCSI-RS is the periodicity of CSI-RS configured for CJTC measurement. TDRX is the DRX cycle length.NOTE 2:the requirements are applicable provided that the CSI-RS resource configured for CJTC measurement is transmitted with Density = 3.,
