DRX cycle,TSSB_measurement_period_intra_RedCap
No DRX,"max(200 ms, 5 x max(MGRP, SMTC period)) x CSSFintra_RedCap"
DRX cycle≤ 320 ms,"max(200 ms, ceil(1.5x 5) x max(MGRP, SMTC period,DRX cycle)) x CSSFintra_RedCap"
DRX cycle>320 ms,"5 x max(MGRP, DRX cycle) x CSSFintra_RedCap"
