DRX cycle,TSSB_time_index_intra_RedCap
No DRX,"max(120 ms, 3 x max(MGRP, SMTC period)) x CSSFintra_RedCap"
DRX cycle≤ 320 ms,"max(120 ms, ceil(1.5 x 3) x max(MGRP, SMTC period,DRX cycle) x CSSFintra_RedCap)"
DRX cycle>320 ms,"3 x max(MGRP, DRX cycle) x CSSFintra_RedCap"
