DRX cycle,TSSB_time_index_intra_CCA
No DRX,"Max(200 ms, ceil((MSSB_index_intra_CCA + N ´ Lind) ´ Kp) ´ SMTC period) ´ CSSFintra"
DRX cycle≤ 320 ms,"Max(200 ms, ceil(1.5 ´ ((MSSB_index_intra + N ´ Lind) ´ Kp) ´ Max(SMTC period, DRX cycle)) ´ CSSFintra"
DRX cycle> 320 ms,ceil((MSSB_index_intra + N ´ Lind) ´ Kp) ´ DRX cycle ´ CSSFintra
"NOTE 1:If different SMTC periodicities are configured for different cells, the SMTC period in the requirement is the one used by the cell being identifiedNOTE 2:When DRX is not configured, Lind is the number of SMTC occasion groups not available at the UE during TSSB_time_index_intra_CCA for index detection, where Lind ≤ Lind,max. When DRX is configured, Lind is the number of DRX cycles groups in which at least one SMTC occasion is not available at the UE during TSSB_time_index_intra_CCA for index detection, where Lind ≤ Lind,max. When configured with DRX, the UE is not required to determine the availability of SMTC occasions more frequent than once per DRX cycle. NOTE 3:Lind,max = 5 for Max(DRX cycle,SMTC period)≤40 ms where DRX cycle is 0 for non-DRX, Lind,max = 3 for 40 ms<Max(DRX cycle,SMTC period)≤320 ms, Lind,max =2 for DRX cycle>320 ms.NOTE 4:  Upon exceeding Lind,max over the period of time TSSB_time_index_intra_CCA, the UE has to restart the time index detection procedure.",
