Configuration,TL1-RSRP_Measurement_Period_CSI-RS_RedCap (ms)
non-DRX,"max(TReport, ceil(M*P*N)*TCSI-RS)"
DRX cycle ≤ 320 ms,"max(TReport, ceil(1.5*M*P*N)*max(TDRX,TCSI-RS))"
DRX cycle > 320 ms,ceil(M*P*N)*TDRX
NOTE 1:TCSI-RS is the periodicity of CSI-RS configured for L1-RSRP measurement. TDRX is the DRX cycle length. TReport is configured periodicity for reporting.NOTE 2:the requirements are applicable provided that the CSI-RS resource configured for L1-RSRP measurement is transmitted with Density = 3.,
