"Condition NOTE1,2",TSSB_time_index_inter
No DRX,"Max(200 ms, MSSB_index_inter  max(80 ms, SMTC period))  CSSFinter"
DRX cycle ≤ 320 ms,"Max(200 ms, Ceil(1.5  MSSB_index_inter)  Max(80 ms, SMTC period, DRX cycle))  CSSFinter"
DRX cycle > 320 ms,MSSB_index_inter   DRX cycle  CSSFinter
NOTE 1:DRX or non DRX requirements apply according to the conditions described in clause 3.6.1NOTE 2:Kp is applicable for UE supporting [concurrent gaps] and MUSIM gaps,
