,Physical Channel Combination,Transport Channel Combination,Mandatory dependent on UE radio access capabilities,Comment
1,PSDCH,SL-DCH,Mandatory for UE supporting sidelink discovery,The UE supporting sidelink discovery transmits sidelink discovery messages on the camped cell (idle) or PCell (connected).
2,PSBCH,SL-BCH,Mandatory for UE supporting sidelink communication or V2X sidelink communication,The UE supporting sidelink communication or V2X sidelink communication transmits MasterInformationBlock-SL messages in PSBCH on one preconfigured frequency.
3,PSSCH,SL-SCH,Mandatory for UE supporting sidelink communication or V2X sidelink communication,The UE supporting sidelink communication or V2X sidelink communication transmits sidelink data in PSSCH on one preconfigured frequency.
4,PSCCH,N/A,Mandatory for UE supporting sidelink communication or V2X sidelink communication,The UE supporting sidelink communication or V2X sidelink communication transmits sidelink control information in PSCCH on one preconfigured frequency.
"NOTE:Depending on the UE capability, the UE may be able to perform simultaneous Uplink and Sidelink transmissions. If the UE is unable to perform simultaneous Uplink and Sidelink transmissions, transmissions are prioritized according to TS 36.321 [12].NOTE:Depending on the UE capability, the UE may be able to perform simultaneous sidelink communication transmissions (PSBCH or PSSCH or PSCCH) and sidelink discovery transmission (PSDCH). If the UE is unable to perform simultaneous transmission of sidelink communication and discovery, transmissions are prioritized according to TS 36.321 [12].",,,,
