,PCell
1. RRC_IDLE,
1.1 All UEs,A or G or H
1.2 UEs supporting SC-PTM,A or G or H or (D1 + H1)
1.3 UEs supporting MWUS,A or G or H or L
1.4 UEs supportingPUR,A or G or H or ((P + (O or H2)) or N)
2. RRC_CONNECTED,
2.1 All UEs,A or ((((J or E or B) + (I or F or B1)) or C or D) + K) or G or H
,"Remarks: The combination for Random Access procedure is only required, related to G and H.Remarks: B1 is only applicable for UEs supporting uplink HARQ ACK feedback."
2.2 UEs supporting FS2,A or ((((J or E or B) + (I or F or B1)) or C or D) + I + K) or G or H
,"Remarks:For TDD UL/DL configuration 0, two MPDCCHs can be received in the same subframe for UL-SCH in two different uplink subframes, which is only applicable for UEs configured with CE mode A with no repetitions.Remarks: The combination for Random Access procedure is only required, related to G and H.Remarks: B1 is only applicable for UEs supporting uplink HARQ ACK feedback."
2.3 UEs supporting ETWS and CMAS,A or ((((J or E or B) + (I or F)) or C or D or M) + K) or G or H
,"Remarks: The combination for Random Access procedure is only required, related to G and H.Remarks: The combination is not applicable for BL UE."
2.4 ETWS and CMAS UEs supporting FS2,A or ((((J or E or B) + (I or F)) or C or D or M) + I + K) or G or H
,"Remarks:For TDD UL/DL configuration 0, two MPDCCHs can be received in the same subframe for UL-SCH in two different uplink subframes, which is only applicable for UEs configured with CE mode A with no repetitions.Remarks: The combination for Random Access procedure is only required, related to G and H.Remarks: The combination is not applicable for BL UE."
