Configuration,Description
1,"PCell: 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeTarget SCell: 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
Note:A UE which passes the requirements in test case A.7.5.3.16 can skip the test cases in A.7.5.3.20.,
