Parameter,Unit,Value,Comment
RF Channel Number,,"1,2","Three NR radio channel (1, 2) are used for this test"
Active PCell,,Cell 1,Primary cell on NR RF channel number 1.
Configured deactivated SCell,,Cell 2,Configured deactivated secondary cell on NR RF channel number 2
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
Cell-individual offset for cells on NR channel number,dB,0,Individual offset for cells on primary component carrier.
SCell measurement cycle (measCycleSCell),ms,160,
Cell 2 timing offset to cell1,s,0,
Time alignment error between cell3 and cell1,s,Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
T1,s,26,During this time the SCell configured and detected.
T2,s,1,During this time the UE shall activate the SCell.PUSCH for L3 reporting is scheduled at the first UL slot after slot n + THARQ + 7 ms
T3,s,1,During this time the UE shall deactivate the SCell.
A4-offset,dB,-15,
THARQ,ms,2,"k1NR slot lengthk1 is a number of slots and is indicated by the PDSCH-to-HARQ-timing-indicator field in the DCI format, if present, or provided by dl-DataToUL-ACK, the value of k should be the minimum value defined in TS 38.213 [3] that will meet the timing constraints of this test case.×"
TCSI_Reporting,ms,15,"the delay (in ms) including uncertainty in acquiring the first available downlink CSI reference resource, UE processing time for CSI reporting (clause 5.2.2.5 in TS 38.214) and uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2]"
