Config,Description
1,FR1 FDD SSB SCS 15kHz BW 10 MHz – FR2-2 TDD SSB SCS 120kHz BW 100 MHz
2,FR1 TDD SSB SCS 15kHz BW 10 MHz – FR2-2 TDD SSB SCS 120kHz BW 100 MHz
3,FR1 TDD SSB SCS 30kHz BW 40 MHz – FR2-2 TDD SSB SCS 120kHz BW 100 MHz
NOTE 1:The UE is only required to be tested in one of the supported test configurations,
