Parameter,Unit,Config,Cell 1,Cell 2,,,,
,,,,T1,,T2,T3,T4
Angle of arrival configuration,,"1,2,3","Link only, see clause A.3.7A",Setup 2a according to clause A.3.15.2.1,,,,
Assumption for UE beams Note 3,,,,Rough,,,,
Ês,dBm/SCS,"1,2,3",,-∞,-81,,,
"SSB_RP Note1, Note2",dBm/SCS,"1,2,3",,-∞,-81,,,
"BB Note1, Note 4",dB,"1,2,3",,-∞,4.88,,,
"Io Note 1, Note2",dBm/95.04 MHz,"1,2,3",,N/A,-56.41,,,
"NOTE 1:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 2:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone.NOTE 3:Information about types of UE beam is given in clause B.2.1.3 and does not limit UE implementation or test system implementation.NOTE 4:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBS from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,,,
