Config,Description
1,"NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE 1:Void.NOTE 2:A UE which fulfils the requirements in test case A.7.5.6.1.1 or A.7.5.6.1.2 can skip the test cases in A.7.5.6.1.3.,
