,X1=1,X1=2,X1=4,X1=6
X2=0,348,368,408,448
X2=1,828,848,888,928
X2=2,1308,1328,1368,1408
X2=3,1788,1808,1848,1888
X2=4,2268,2288,2328,2368
X2=5,2748,2768,2808,2848
X2=6,3228,3248,3288,3328
X2=7,3708,3728,3768,3808
