,X1=1,X1=2,X1=4,X1=6
X2=0,348,368,408,448
X2=1,368,388,428,468
X2=2,388,408,448,488
X2=3,408,428,468,508
X2=4,428,448,488,528
X2=5,448,468,508,548
X2=6,468,488,528,568
X2=7,488,508,548,588
