Config,Description
1,"PCell: NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeSCell: NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"PCell: NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeSCell: NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
3,"PCell: NR 30 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeSCell: NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurations,
