Configuration parameter,Value,Meaning
GERAN carriers priority,high,The selection priorities for idle and connected mode of all GERAN carriers are higher than the priorities for all UTRAN and E-UTRAN carriers
UTRAN carriers priority,medium,The selection priorities for idle and connected mode of all UTRAN carriers are lower than the priorities for all GERAN carriers and higher than the priorities for all E-UTRAN carriers
E-UTRAN carriers priority,low,The selection priorities for idle and connected mode of all E-UTRAN carriers are lower than the priorities for all GERAN and UTRAN carriers
