Cases,First Phase,Second Phase,T2 expired
UE returns to the same cell,Continue as if no radio problems occurred,Activity is resumed by means of explicit signalling between UE and eNB,Go via RRC_IDLE
UE selects a different cell from the same eNB,N/A,Activity is resumed by means of explicit signalling between UE and eNB,Go via RRC_IDLE
UE selects a cell of a prepared eNB (NOTE),N/A,Activity is resumed by means of explicit signalling between UE and eNB,Go via RRC_IDLE
UE selects a cell of a different eNB that is not prepared (NOTE),N/A,Go via RRC_IDLE,Go via RRC_IDLE
"NOTE:a prepared eNB is an eNB which has admitted the UE during an earlier executed HO preparation phase, or obtains the UE context during the Second Phase.",,,
