Configuration parameter,Value,Meaning
UTRAN carriers priority,high,The selection priorities for idle and connected mode of all UTRAN carriers are higher than the priorities for all GERAN and E-UTRAN carriers
GERAN carriers priority,medium,The selection priorities for idle and connected mode of all GERAN carriers are lower than the priorities for all UTRAN carriers and higher than the priorities for all E-UTRAN carriers
E-UTRAN carriers priority,low,The selection priorities for idle and connected mode of all E-UTRAN carriers are lower than the priorities for all UTRAN and GERAN carriers
