Channel Access Priority Class (),QCI
1,"1, 3, 5, 65, 66, 67, 69, 70, 79, 80, 82, 83, 84, 85"
2,"2, 7, 71"
3,"4, 6, 8, 9, 72, 73, 74, 76"
4,-
