Phases of IDC Interference,RRM Measurements,RLM Measurements,CSI Measurements
Phase 1,Up to UE implementation and RRM measurement requirements (see TS 36.133 [21]) apply,Up to UE implementation and RLM measurement requirements (see TS 36.133 [21]) apply,Up to UE implementation and CSI measurement requirements (see TS 36.101 [52]) apply
Phase 2,UE shall ensure the measurements are free of IDC interference and RRM measurement requirements (see TS 36.133 [21]) apply(NOTE 4),UE shall ensure the measurements are free of IDC interference and RLM measurement requirements (see TS 36.133 [21]) apply(NOTE 1),(NOTE 4)
Phase 3,UE shall ensure the measurements are free of IDC interference and RRM measurement requirements (see TS 36.133 [21]) apply,UE shall ensure the measurements are free of IDC interference and RLM measurement requirements (see TS 36.133 [21]) apply,
"NOTE 1:The UE should attempt to maintain connectivity to LTE in this phase meaning that RLM measurements are not impacted by IDC interference. If no solution is provided within a time which is up to UE implementation, the UE may need to declare RLF or it may continue to deny the ISM transmission. In DC, when the UE experiences IDC problems in SCG, if no solution is provided within a time which is up to UE implementation, the UE may need to declare RLF in SCG or it may continue to deny the ISM transmission in SCG.NOTE 2:If the UE determines in Phase 2 that the network does not provide a solution that resolves its IDC problems, it performs measurements as defined for Phase 1.NOTE 3:If the IDC indication message reports the IDC interference on a neighbour frequency, it performs RRM measurements for that frequency as defined for Phase 2.NOTE 4:When experiencing IDC problem caused by the hardware sharing between LAA and WLAN the UE shall be allowed to relax the existing RRM/CSI measurement requirement during phase 2 (see TS 36.133 [21]).",,,
