Number of TX antennas,Number of RX antennas,Cyclic prefix,Duplex,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,FDD,TDLB100-400 Low,70%,G-FR1-A3-36,pos1,-2.3
1,2,Normal,TDD,TDLB100-400 Low,70%,G-FR1-A3-35,pos1,-2.5
