Reference channel,G-FR2-A3-13,G-FR2-A3-14,G-FR2-A3-15,G-FR2-A3-16,G-FR2-A3-17
Subcarrier spacing [kHz],60,60,120,120,120
Allocated resource blocks,66,132,32,66,132
CP-OFDM Symbols per slot (Note 1),8,8,8,8,8
Modulation,QPSK,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),193/1024,193/1024,193/1024,193/1024,193/1024
Payload size (bits),2408,4744,1160,2408,4744
Transport block CRC (bits),16,24,16,16,24
Code block CRC size (bits),-,24,-,-,24
Number of code blocks - C,1,2,1,1,2
Code block size including CRC (bits) (Note 2),2424,2408,1176,2424,2408
Total number of bits per slot,12672,25344,6144,12672,25344
Total symbols per slot,6336,12672,3072,6336,12672
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].",,,,,
