BS channel bandwidth of the lowest carrier received (MHz),Interfering RB centre frequency (Note 2),Type of interfering signal
3,"874.4 MHz - (255 kHz +m*180 kHz), m=0, 1, 2, 3, 4, 7, 10, 13","3 MHz DFT-s-OFDM NR signal, 15 kHz SCS, 1 RB"
5,"874.4 MHz - (350 kHz +m*180 kHz), m=0, 1, 2, 3, 4, 9, 14, 19","5 MHz DFT-s-OFDM NR signal, 15 kHz SCS, 1 RB"
"NOTE 1:Interfering signal consisting of one resource block positioned at the stated frequency, the channel bandwidth of the interfering signal is located adjacently to the lower UL operating band edge. NOTE 2:The centre of the interfering RB refers to the frequency location between the two central subcarriers.",,
